Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2021-09-09 18:18:15,false,"Gdańsk Chodzenie","6.89","413","01:24:54","117","136","94","244","12:20","9:27","6","2","0.87","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","10:54.67","7","0.0","00:00:00","01:24:54","-10","-2"
Gravel/Unpaved Cycling,2021-09-08 17:51:05,false,"Gdańsk Kolarstwo","21.13","486","01:26:07","124","167","--","--","14.7","32.9","194","186","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","03:10.82","5","0.0","01:21:11","02:09:08","48","147"
Walking,2021-09-05 15:52:12,false,"Gdańsk Chodzenie","7.41","497","02:05:45","104","138","74","230","16:58","5:39","37","31","0.84","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","05:56.04","8","0.0","00:00:00","02:05:45","-21","-2"
Rowing,2021-09-05 10:41:37,false,"Gdańsk Wiosłowanie","10,002","634","02:31:38","110","140","--","--","7:35","1:35","--","--","0.00","0.0","0.0","0.0","0.0","0.0","2669","--","--","0:00","0.0","0:00","No","00:03.59","21","0.0","00:00:00","02:31:38","--","--"
Cycling,2021-09-04 17:50:46,false,"Hel Kolarstwo","33.39","721","01:54:32","131","156","--","--","17.5","25.7","20","13","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","10:27.71","7","0.0","01:53:55","02:07:14","10","19"
Cycling,2021-09-04 13:30:34,false,"Władysławowo Kolarstwo","34.66","655","01:53:41","121","147","--","--","18.3","26.1","28","10","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","15:06.79","7","0.0","01:53:02","02:30:32","-1","10"
Cycling,2021-08-29 12:42:16,false,"Poznań Kolarstwo","6.41","169","00:22:21","130","155","--","--","17.2","25.2","24","18","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","05:18.67","2","0.0","00:22:06","00:26:00","84","97"
Walking,2021-08-28 13:44:55,false,"Kórnik Chodzenie","2.43","147","00:36:15","104","125","43","204","14:53","4:47","9","13","1.60","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","08:03.10","3","0.0","00:00:00","00:36:15","108","118"
Cycling,2021-08-22 15:42:56,false,"Somonino Kolarstwo","15.72","294","00:50:13","122","160","--","--","18.8","33.7","151","108","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:50.61","4","0.0","00:49:44","01:04:06","163","269"
Cycling,2021-08-22 13:30:37,false,"Somonino Kolarstwo","13.69","245","00:50:12","113","145","--","--","16.4","30.6","84","119","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","15:44.73","3","0.0","00:47:58","01:05:51","158","225"
Cycling,2021-08-21 18:44:54,false,"Gdańsk Kolarstwo","7.10","175","00:23:46","130","151","--","--","17.9","26.1","24","6","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","06:45.99","2","0.0","00:23:32","00:24:30","--","21"
Indoor Cycling,2021-08-21 18:05:05,false,"Jazda na rowerze treningowym","0.00","255","00:39:07","124","148","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","39:06.71","1","0.0","00:00:00","00:39:07","--","--"
Cycling,2021-08-21 16:12:24,false,"Gdańsk Kolarstwo","2.45","48","00:09:57.5","105","122","--","--","14.8","21.9","9","5","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","09:57.45","1","0.0","00:09:56","00:10:13","--","9"
Cycling,2021-08-21 12:30:19,false,"Gdańsk Kolarstwo","40.67","613","01:59:57","123","149","--","--","20.3","32.9","161","80","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","02:07.02","9","0.0","01:59:30","02:20:54","-15","35"
Pool Swimming,2021-08-15 13:54:34,false,"Pływanie w basenie","--","--","01:19:56","107","130","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:19:55.93","1","0.0","00:00:00","01:20:11","--","--"
Pool Swimming,2021-08-14 16:43:51,false,"Pływanie w basenie","767","173","00:16:53","130","156","--","--","2:12","0:44","--","--","0.00","0.0","0.0","0.0","0.0","0.0","479","65","28","0:00","0.0","0:00","No","16:52.67","1","0.0","00:00:00","00:16:56","--","--"
Pool Swimming,2021-08-14 16:22:22,false,"Pływanie w basenie","300","68","00:06:57.4","138","149","--","--","2:19","1:19","--","--","0.00","0.0","0.0","0.0","0.0","0.0","197","68","28","0:00","0.0","0:00","No","06:57.37","1","0.0","00:00:00","00:07:04.4","--","--"
Pool Swimming,2021-08-13 18:05:00,false,"Pływanie w basenie","1,267","303","00:19:38","119","146","--","--","1:33","0:37","--","--","0.00","0.0","0.0","0.0","0.0","0.0","525","45","27","0:00","0.0","0:00","No","19:38.44","1","0.0","00:00:00","00:19:43","--","--"
Walking,2021-08-13 17:52:14,false,"Atarfe Chodzenie","0.32","17","00:05:14.9","93","101","76","204","16:20","13:02","--","4","0.81","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","05:14.91","1","0.0","00:00:00","00:05:14.9","644","649"
Pool Swimming,2021-08-09 19:26:32,false,"Pływanie w basenie","2,300","536","00:39:44","124","146","--","--","1:42","0:38","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1082","50","28","0:00","0.0","0:00","No","00:36.64","2","0.0","00:39:08","00:40:01","--","--"
Stand Up Paddleboarding,2021-08-09 19:01:15,false,"Albolote SUP","0.51","63","00:12:25","115","127","--","--","24:09","13:32","--","--","0.00","0.0","0.0","0.0","0.0","0.0","244","--","--","0:00","0.0","0:00","No","12:24.60","1","0.0","00:09:12","00:12:25","--","--"
Stand Up Paddleboarding,2021-08-09 18:20:32,false,"Albolote SUP","0.66","121","00:16:26","131","147","--","--","24:57","8:30","--","--","0.00","0.0","0.0","0.0","0.0","0.0","419","--","--","0:00","0.0","0:00","No","16:26.19","1","0.0","00:10:24","00:16:26","--","--"
Walking,2021-08-08 11:34:30,false,"Monachil Chodzenie","11.02","843","03:15:23","108","161","67","230","17:44","1:10","478","801","0.88","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:04.52","12","0.0","02:20:01","03:15:23","2,574","3,365"
Walking,2021-08-06 18:36:34,false,"Granada Chodzenie","5.35","337","01:37:30","91","122","63","164","18:14","7:32","39","25","0.90","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","05:55.47","6","0.0","01:11:53","01:37:30","671","694"
Pool Swimming,2021-08-03 18:50:03,false,"Pływanie w basenie","1,966","467","00:36:15","94","123","--","--","1:50","0:37","--","--","0.00","0.0","0.0","0.0","0.0","0.0","950","53","26","0:00","0.0","0:00","No","00:11.71","2","0.0","00:36:04","00:36:46","--","--"
Cycling,2021-07-31 17:16:00,false,"Pruszcz Gdański (Gmina) Kolarstwo","18.30","478","00:54:03","142","173","--","--","20.3","28.9","59","15","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","11:26.21","4","0.0","00:53:33","01:06:56","-8","45"
Cycling,2021-07-31 16:54:29,false,"Gdańsk Kolarstwo","0.01","--","00:00:04.0","101","101","--","--","8.0","8.0","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:04.05","1","0.0","00:00:00","00:00:04.0","--","--"
Cycling,2021-07-31 13:34:54,false,"Gdańsk Kolarstwo","20.83","401","01:00:37","124","153","--","--","20.6","33.9","26","43","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","02:47.37","5","0.0","01:00:04","01:09:06","5","22"
Cycling,2021-07-04 14:05:34,false,"Warszawa Kolarstwo","1.95","38","00:05:38.3","114","147","--","--","20.7","26.3","5","5","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","05:38.34","1","0.0","00:05:34","00:06:14.3","88","96"
Cycling,2021-06-27 09:22:48,false,"Gdańsk Kolarstwo","15.63","308","01:05:46","105","161","--","--","14.3","32.9","69","63","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","02:49.46","4","0.0","01:03:47","01:17:07","1","59"
Cycling,2021-06-25 19:47:58,false,"Gdańsk Kolarstwo","14.55","260","00:57:33","104","150","--","--","15.2","31.6","78","31","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","15:12.71","3","0.0","00:56:40","01:09:09","2","59"
Rowing,2021-06-20 09:53:22,false,"Lidzbark Wiosłowanie","18,577","1,631","06:10:25","105","152","--","--","9:58","1:43","--","--","0.00","0.0","0.0","0.0","0.0","0.0","4663","--","--","0:00","0.0","0:00","No","01:09.73","38","0.0","03:37:22","06:10:25","--","--"
Rowing,2021-06-19 10:06:40,false,"Lidzbark Wiosłowanie","13,841","1,249","04:57:44","108","168","--","--","10:45","1:47","--","--","0.00","0.0","0.0","0.0","0.0","0.0","3616","--","--","0:00","0.0","0:00","No","04:58.71","28","0.0","02:54:28","04:57:44","--","--"
Running,2021-06-02 23:33:05,false,"Bolesławiec (Gmina) Bieg","1.01","40","00:04:52.3","129","156","163","183","4:48","4:17","33","--","1.29","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:06.24","2","0.0","00:04:48","00:04:52.3","193","228"
Cycling,2021-05-29 19:48:09,false,"Jabłonna Kolarstwo","16.13","376","00:58:43","123","160","--","--","16.5","37.8","17","29","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","07:51.79","4","0.0","00:52:06","00:58:43","55","75"
